appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,0,1.791759469,0,0.693147181,0,0,0,10.41,1.86,3.35,0.37,5.95,0.74,1.49,2.6,1.86
0,0,1.386294361,0,0,0,0.693147181,0,11.06,2.51,1.51,1.01,5.53,0.5,3.02,3.02,1.51
0,0,0.693147181,0,0,0,0,0,8.47,0,1.59,2.65,3.17,2.12,0.53,1.59,1.59
0,0,1.386294361,0,2.890371758,0,0,0,5.78,2.74,0.91,0.91,5.47,2.43,1.52,3.04,0.61
0,0,2.302585093,0,3.258096538,1.098612289,0,0,9.79,2.1,4.55,0.7,2.8,1.05,0,2.8,4.55
0,1.098612289,2.302585093,0.693147181,2.48490665,0,0,0,11.06,2.76,5.07,1.38,3.23,0.46,3.23,1.84,5.53
0,1.791759469,2.833213344,0,1.791759469,0,0,0.693147181,5.16,1.98,3.97,0,5.16,0.79,1.19,0.79,7.14
0,2.890371758,1.945910149,0,2.397895273,0,0,0,8.89,1.67,3.33,0.28,5.83,1.94,1.94,0.83,1.39
0,2.302585093,2.302585093,0,2.079441542,1.098612289,1.609437912,0,7.69,2.96,2.96,0.59,7.1,1.78,3.55,1.18,6.51
0,0,2.564949357,1.386294361,1.098612289,0,2.397895273,0,8.24,2.65,3.24,0.59,7.65,3.24,1.76,0.59,4.71
0,2.48490665,2.48490665,0,2.197224577,0,0.693147181,0,7.69,0.85,5.98,1.71,4.27,0.43,2.14,1.28,4.7
0,1.386294361,1.098612289,0,1.609437912,0,0,0,8.49,1.92,1.92,1.64,3.29,2.47,1.92,3.56,1.37
0,0,1.609437912,0,1.098612289,0,2.079441542,0,7.43,3.72,2.79,1.55,7.12,0.93,2.48,1.86,1.86
0,1.945910149,2.197224577,0,0.693147181,1.945910149,0,0,7.77,3.63,10.88,2.07,3.63,3.11,3.63,1.04,8.29
0.693147181,1.791759469,2.63905733,0,2.197224577,0,0,0,11.34,1.68,2.94,0.42,2.94,0.42,0.42,0.42,5.04
0,0,2.564949357,0,0,0,0.693147181,0,7.54,4.92,1.97,1.64,7.54,1.97,2.62,0.98,4.92
0,1.386294361,1.609437912,0,1.386294361,0,0,0,8.4,2.67,2.29,0.76,3.82,2.67,2.67,1.53,1.15
0,0.693147181,0,0.693147181,0.693147181,0,1.098612289,0,10.7,2.47,3.29,1.23,5.76,2.47,1.65,0.41,1.23
0,0,0.693147181,0,1.386294361,0,0,0,8.61,1.39,3.06,2.5,2.78,0.83,1.94,0.83,0.28
0,1.791759469,1.945910149,0,0.693147181,0,0,0,8.72,2.68,4.36,4.03,3.02,1.68,3.36,2.01,3.02
0,1.098612289,2.079441542,0,2.197224577,0.693147181,0,0,9.85,2.46,2.46,0.99,8.37,4.43,1.48,1.97,3.45
0,0,1.609437912,0,0.693147181,0,1.791759469,0,6.13,4.91,2.76,3.07,4.29,1.84,2.45,1.23,1.53
0,0,2.197224577,0,1.386294361,0,0,0,3.8,1.17,4.68,0.58,6.43,0.29,4.09,1.17,2.63
0,1.386294361,1.386294361,0,1.098612289,0,0,0,4.4,2.56,6.59,1.1,5.13,3.66,3.66,2.2,2.56
0,0,0,0,1.791759469,1.386294361,0,0,10.5,1.37,5.02,1.37,7.76,1.83,1.37,1.37,0
0,0.693147181,0,0,0,1.098612289,0,1.098612289,13.4,5.15,6.19,1.55,6.19,4.64,4.12,1.03,2.06
1.098612289,0,0.693147181,0,1.609437912,0,0,0,7.81,2.34,3.52,0.39,5.08,1.17,0.78,1.95,0.39
0,0,0,0,1.791759469,0,0,0,7.59,0.69,2.07,4.83,2.76,4.83,4.83,2.07,1.38
0,0,0,0,1.791759469,0,0,0,7.32,1.95,3.9,0.98,5.37,0.49,2.93,1.95,0.49
0,1.609437912,1.609437912,0,1.609437912,0,0,0,7.63,3.39,0,1.69,5.93,3.39,0,2.54,1.69
1.098612289,1.791759469,1.791759469,1.098612289,1.945910149,0.693147181,0.693147181,0,9.51,1.46,6.59,1.71,3.66,1.22,2.68,1.22,2.2
0,1.386294361,2.197224577,0,1.609437912,1.098612289,0,0.693147181,9.57,3.83,7.18,1.44,4.78,1.44,1.44,0.48,4.31
0,1.386294361,1.791759469,0,1.386294361,0,1.098612289,0,7.62,3.81,2.86,0,3.81,1.9,3.17,0.95,3.49
0,2.302585093,1.609437912,1.098612289,1.098612289,1.098612289,0,0,7.88,2.46,6.4,0.99,3.45,1.48,0,0.99,5.91
0,2.397895273,1.386294361,0,1.609437912,0,0,0,7.52,2.26,7.52,0.75,3.76,4.51,2.26,3.01,2.26
0,0,2.890371758,0,0,1.098612289,0,0.693147181,9.93,2.65,6.62,1.32,4.97,3.31,2.98,4.3,4.64
0,1.945910149,1.609437912,0,2.302585093,0,0,0,6.98,0.58,0.58,1.16,4.07,2.91,0.58,2.33,3.49
0,1.791759469,1.791759469,0,2.197224577,0,0.693147181,0,5.56,2.56,3.42,0.85,5.13,2.14,2.14,0.43,5.13
0,0,2.197224577,1.098612289,1.945910149,2.079441542,0.693147181,0,9.71,4.72,4.72,1.05,5.77,1.84,4.46,2.89,3.41
0,0,2.197224577,0,0.693147181,2.079441542,0,0,9.38,1.88,6.88,0.62,5.62,5.62,3.12,3.12,7.5
0,0,1.386294361,0,1.791759469,1.098612289,0,0,9.15,1.76,6.34,1.06,3.87,2.11,3.52,2.82,2.46
0,1.098612289,2.302585093,0,0,0,0,0.693147181,6.98,3.72,3.26,0.47,4.65,3.26,2.33,3.72,5.12
0,1.791759469,1.609437912,0,1.791759469,0,0,0,8.59,3.54,3.54,1.01,2.53,2.53,3.03,0,4.04
0,0,1.386294361,0,1.609437912,0.693147181,0,0,6.55,3.93,5.24,0.44,4.37,2.18,2.18,1.75,1.75
0,0,0.693147181,0,2.302585093,0,1.791759469,0,12.54,3.94,2.51,0,6.45,5.38,2.51,1.08,1.43
0,2.302585093,0,0,0,0,0,0,7.26,1.61,3.63,0,4.44,1.21,1.61,2.02,4.84
0,1.386294361,0,0,0.693147181,0.693147181,0,0,5.84,0.73,5.84,1.46,5.11,1.46,1.46,2.19,3.65
0,0,1.386294361,1.098612289,2.302585093,0,0,1.386294361,9.68,3.23,2.23,2.48,5.96,1.49,3.72,0.5,1.99
0,1.791759469,0,0,2.397895273,0,0,0,8.26,3.67,0.92,2.29,2.75,0.46,2.29,4.59,2.75
0,2.397895273,1.098612289,0,0.693147181,0,0.693147181,0,6.25,0.39,2.73,2.34,5.47,2.73,1.95,0.78,5.08
0,2.197224577,2.63905733,0.693147181,0.693147181,1.609437912,0,1.098612289,7.11,4.18,6.28,2.93,5.44,2.09,3.77,1.67,10.04
0,0.693147181,2.397895273,0,1.609437912,0,0,0,9.61,3.93,1.75,0.87,2.18,0.87,6.11,1.31,4.8
0,2.708050201,1.945910149,0,0.693147181,0,0,0,8.14,1.45,2.62,4.07,4.94,2.33,3.49,1.45,5.81
0,1.098612289,1.945910149,0,0,0,0,0,6.3,1.85,5.19,1.48,4.44,3.33,1.48,3.33,2.59
0,1.098612289,1.386294361,0,2.302585093,0.693147181,0,0,4.82,2.19,6.14,0.44,7.02,1.32,2.63,0.88,2.19
0,0.693147181,0.693147181,0,1.791759469,1.945910149,0,0,8.41,2.65,5.31,1.33,2.65,2.21,2.65,3.1,1.33
0,1.386294361,1.386294361,0,0.693147181,0.693147181,0,0,6.74,1.06,5.32,2.13,3.19,2.84,3.19,4.61,2.48
0,2.397895273,2.079441542,0,1.609437912,0.693147181,0.693147181,0,7.19,3.27,6.54,1.96,4.58,1.31,0,4.58,10.46
0,0,0,0,1.945910149,0,0,0,8.81,3.07,2.3,1.15,4.6,2.3,1.92,1.53,0
0,0,0,0,1.945910149,0,0,0,8.42,3.96,3.47,0.99,2.97,2.48,6.44,0.99,1.98
0,0,1.386294361,0,0,0,0,0,10.6,3.89,1.41,1.41,2.83,3.53,1.77,1.77,0.35
0,0,0,0,1.386294361,0,0,0,11.31,3.18,1.06,1.41,3.89,3.18,6.01,1.77,0
0,0,1.791759469,0,2.197224577,0.693147181,0.693147181,0,7.07,1.35,5.39,0.34,5.72,2.69,2.36,1.01,1.68
0,2.397895273,2.079441542,0,2.079441542,0,0.693147181,1.791759469,7.57,5.95,6.49,0.54,6.49,2.7,4.32,1.62,8.11
0,0,1.098612289,0,2.397895273,0,0,0,5.69,2.1,2.4,2.99,2.69,1.2,0.9,3.29,0.6
0,0,0,0.693147181,1.098612289,0,0,0,9.45,1.99,3.98,0,4.98,5.47,1.99,0.5,1
0,0,1.386294361,0,0,0,0,0,11.41,1.5,1.8,3,2.7,2.1,2.1,0.6,1.8
0,0,1.609437912,0,1.098612289,0,0,0,5.99,0.92,3.69,1.84,6.45,4.15,1.38,2.76,2.3
0,3.135494216,1.945910149,0,2.564949357,0,0,0,8.1,3.24,6.88,0.4,2.83,2.02,2.43,1.62,3.64
0,0,2.197224577,0,0,0,2.079441542,0.693147181,9.8,2.52,3.08,1.96,7.56,2.24,4.76,1.96,2.24
0,2.197224577,1.386294361,0,1.386294361,0,0,0,6.25,1.56,5.08,1.17,5.08,0.78,3.91,0,4.69
0,0,1.945910149,0,0,0,0,0,7.34,1.13,1.98,0.85,3.67,2.26,3.11,1.98,2.26
0,0.693147181,2.944438979,0,0.693147181,0,0,0,8.95,2.11,2.63,2.11,3.16,2.63,4.74,1.58,11.58
0,0.693147181,1.791759469,1.609437912,1.791759469,0,0.693147181,0,8.54,1.83,3.05,0.61,5.18,2.13,4.57,0.3,3.66
0,1.098612289,0,0,1.098612289,0,0,0,10.43,1.08,2.88,0.72,3.24,2.52,2.16,1.8,0.36
0,1.791759469,2.833213344,0,2.079441542,0,1.609437912,1.386294361,7.61,2.89,6.82,1.05,6.3,2.36,2.62,4.46,4.2
0,0,1.098612289,0,2.944438979,0,1.609437912,1.098612289,8.12,2.9,3.19,1.16,7.25,0.29,3.19,2.9,2.32
0,1.098612289,1.386294361,0,0.693147181,0,0,0,10.7,4.28,3.74,1.07,5.35,4.81,2.67,1.6,3.21
0,0,2.302585093,0.693147181,1.098612289,0,0,0,7.67,3.33,3.67,0.67,5,1.33,2.67,2.67,4.67
0,1.791759469,2.302585093,0,1.791759469,0,0,0,11.71,2.57,4.57,0.29,2.57,2.29,4.57,1.43,4.57
0,0,1.791759469,0,0,0,1.609437912,0,7.73,2.06,2.58,1.55,8.25,1.55,1.03,4.12,4.12
0,0,0,0,0,0,0,0,9.79,2.58,2.06,0.52,3.61,3.61,2.58,1.55,1.03
0,1.386294361,1.386294361,0,1.945910149,0.693147181,0,0,14.45,0.58,1.73,5.2,2.31,0.58,3.47,1.16,2.31
0,1.386294361,1.945910149,0,1.098612289,0,0.693147181,0,10.42,3.27,2.38,0.3,4.17,2.08,4.76,2.38,1.19
0,0,2.302585093,1.098612289,1.791759469,1.098612289,0,0,6.5,1.5,5.5,0.5,5,3.5,2,1,7
0,1.386294361,1.945910149,0,0,1.098612289,0,0,8.97,0.69,4.48,0.69,1.03,4.48,5.86,2.07,2.41
