appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,0,0,0,1.098612289,0,0,0,6.62,0.00,5.15,0,8.09,2.94,4.41,0.74,0.74
0,0,0,0,0,0,0,0,6,0.00,6,0,10,0,4,2,2
0,0,0.693147181,0,0.693147181,0,0,0,6.19,0.00,3.09,0,7.22,4.12,4.12,2.06,2.06
0,0,0.693147181,0,0,0,0,0,9.62,0.00,9.62,0,5.77,11.54,3.85,0,5.77
0,0,0,0,0,0,0,0,13.19,4.40,2.2,0,3.3,2.2,6.59,0,0
0,0,0,0,0,0,0,0,12.38,4.76,0.95,1.9,0.95,6.67,8.57,0,0.95
0,0,0,0,0,0,0,0,7.62,3.81,2.86,0,5.71,2.86,3.81,0.95,1.9
0,0,0,0,1.791759469,0,0,0,11.11,2.47,4.94,1.23,9.88,1.23,3.7,2.47,0
0,0,0.693147181,0,0,0,0,0,12.5,6.25,9.38,0,12.5,3.12,3.12,6.25,0
0,0,1.386294361,0,0.693147181,0,0,0,4.17,0.00,8.33,0,4.17,0,8.33,4.17,12.5
0,0,0.693147181,0,0,0,0,0,0,0.00,0,0,16.67,0,5.56,0,11.11
0,0,1.098612289,0,0,0,0,0,0,0.00,0,0,0,0,0,0,100
0,0,0,0,0.693147181,0,0,0,2.86,0.00,5.71,0,2.86,2.86,0,0,0
0,0,0,0,0,0,0,0,9.09,6.06,6.06,0,3.03,0,0,0,0
0,0,0.693147181,0,0,0,0,0,2.7,8.11,0,0,5.41,0,0,5.41,5.41
0,0,1.098612289,0,0,0,0,0,8.33,0.00,8.33,4.17,4.17,0,0,0,12.5
0,0,0,0,0,0,0,0,20,0.00,20,0,0,0,0,0,20
0,0,0,0,0,0,0,0,0,10.00,20,10,0,0,0,0,10
0,0,1.098612289,0,0,0,0,0,12.12,0.00,6.06,0,6.06,0,0,3.03,12.12
0,0,0,0,0,0,0,0,0,0.00,14.29,14.29,14.29,0,0,0,14.29
0,0,1.098612289,0,0,0,0,0,3.7,3.70,7.41,0,3.7,3.7,0,0,11.11
0,0,0,0,0.693147181,0,0,0,11.76,5.88,0,0,17.65,0,0,0,0
0,0,0,0,1.386294361,0,0,0,11.24,1.12,0,3.37,3.37,3.37,1.12,0,1.12
0,0,1.609437912,0,0,0,0,0,8.7,0.87,3.48,1.74,5.22,2.61,0,0,4.35
0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,50
0,0,0.693147181,0,2.397895273,0,0,0,8.48,1.34,4.46,2.23,8.48,0.89,2.23,1.34,2.68
0,0,1.098612289,0,0,0,0,0,3.45,3.45,0,0,6.9,0,0,10.34,10.34
0,0,0,0,0,0,0,0,27.27,4.55,4.55,0,0,0,0,9.09,9.09
0,0,1.098612289,0.693147181,1.098612289,0,0,0,5,7.50,7.5,2.5,7.5,2.5,0,0,15
0,0,1.098612289,0,0,0,0,0,25,0.00,8.33,0,16.67,0,0,0,33.33
0,0,0,0,1.791759469,0,0,0,3.39,0.00,3.39,6.78,5.08,1.69,0,1.69,1.69
0,0,0,0,2.197224577,0,0,0,6.03,2.59,0,2.59,4.31,1.72,4.31,1.72,0.86
0,0,0,0,0,0,0,0,10.34,0.86,5.17,1.72,2.59,2.59,4.31,1.72,0
0,0,0.693147181,0,0,0,0,0,9.52,4.76,3.17,1.59,6.35,4.76,4.76,3.17,4.76
0,0,0,0,0,0,0,0,0,0.00,0,0,11.11,0,11.11,11.11,11.11
0,0,0,0,0,0,0,0,0,0.00,33.33,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.67,2.67,2.67,0,4,0,0,0,1.33
0,0,0,0,0,0,0,0,3.08,0.00,6.15,3.08,6.15,1.54,3.08,4.62,1.54
0,0,0,0,0,0,0,0,5,2.50,7.5,2.5,2.5,0,0,2.5,2.5
0,0,0,0,0,0,0,0,11.9,2.38,3.57,1.79,4.17,2.98,2.98,0.6,0.6
0,0,0,0,0,0,0,0,12.43,3.24,3.78,1.08,2.7,1.62,0,1.08,0.54
0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,6.82,1.36,5.91,1.82,3.18,4.09,0.45,0.91,0.45
0,0,0,0,0,0,0,0,0,7.41,7.41,3.7,11.11,3.7,0,0,0
0,0,0,0,0,0,0,0,9.68,3.23,4.03,0,6.45,7.26,1.61,3.23,0
0,0,0,0,0.693147181,0,0,0,10,1.25,2.5,0,7.5,5,1.25,1.25,0
0,2.772588722,0,0,2.079441542,0,0,0,0,0.00,0,0,0,0,0,0,5.88
0,0,0,0,0,0,0,0,6.49,2.60,2.6,0,3.9,5.19,3.9,0,0
0,0.693147181,0,0,0,0,0,0,11.36,2.27,0.76,0.76,3.79,2.27,1.52,1.52,0.76
0,0,0.693147181,0,0,0,0,0,2.08,4.17,2.08,6.25,6.25,2.08,4.17,2.08,4.17
0,0,0,0,0.693147181,0,1.098612289,0,6.02,1.81,1.81,0.6,5.42,3.01,0.6,3.01,0
0,2.48490665,0,0,1.945910149,0,1.609437912,0,8.72,2.91,2.91,0.58,5.81,5.23,2.33,3.49,0.58
0,0,0.693147181,0,0,0,0,0,7.19,2.16,4.32,2.16,2.16,4.32,2.16,2.88,2.88
0,0,1.386294361,0,0.693147181,0,0,0,9.57,2.61,4.35,2.61,2.61,0.87,2.61,4.35,4.35
0,0,0,0,0,0,0,0,8.77,2.63,0,3.51,0.88,2.63,3.51,3.51,0.88
0,0,0,0,0,0,0,0,7.5,7.50,7.5,2.5,2.5,2.5,5,5,0
0,0,0,0,0,0,0,0,8.62,5.17,0,3.45,10.34,5.17,1.72,0,0
0,0,0.693147181,0,0,0,0,0,5.13,5.13,7.69,5.13,2.56,2.56,7.69,2.56,12.82
0,0,1.945910149,0,0,0,0,0,5.45,0.91,1.82,1.82,8.18,2.73,2.73,0,6.36
0,0,1.791759469,0,0,0,0,0,9.09,4.55,2.27,4.55,9.09,6.82,0,0,13.64
0,0,0,0,0,0,0,0,9.38,0.00,6.25,3.12,12.5,0,0,3.12,3.12
0,0,0,0,0,0,0,0,8.16,2.04,4.08,0,5.1,1.02,2.04,2.04,1.02
0,0.693147181,0.693147181,0,0.693147181,0,0,0,5.22,0.87,3.48,0,5.22,6.96,4.35,5.22,0
0,0,0.693147181,0,0,0,0,0,7.84,1.96,4.9,0.98,7.84,2.94,2.94,5.88,1.96
0,1.609437912,0,0,1.098612289,0,0,0,8.93,0.89,4.46,0.89,5.36,0.89,1.79,0.89,0
0,0.693147181,0,0,0,0,0.693147181,0,8.33,4.76,4.76,0,3.57,4.76,3.57,5.95,0
